food_id,title,canteen_id,price,num_orders,category,avg_rating,num_rating,tags
1,Lala Maggi,1,30,20059,maggi,3.9,10,"veg, spicy"
2,Cheese Maggi,1,25,20128,maggi,3.8,15,veg
3,Masala Maggi,1,25,19724,maggi,3,10,"veg, spicy"
4,Veg Maggi,1,30,19904,maggi,2.5,5,"veg, healthy"
5,Paneer Tikka,1,60,20454,Punjabi,4.6,30,"veg, healthy"
6,Chicken Tikka,1,80,20093,Punjabi,4.2,28,"nonveg, healthy, spicy"
7,Paneer Butter Masala,1,60,20136,Punjabi,4.6,30,"veg, healthy, spicy"
8,Chicken Butter Masala,1,80,19821,Punjabi,4.2,28,"nonveg, healthy, spicy"
9,Paneer Masala,1,60,19658,Punjabi,4.6,30,"veg, healthy, spicy"
10,Chicken Masala,1,80,19972,Punjabi,4.2,28,"nonveg, healthy, spicy"
11,Veg Biriyani,1,60,20074,Indian,4.6,30,"veg, healthy"
12,Chicken Biriyani,1,80,19788,Indian,4.2,28,"nonveg, healthy, spicy"
13,Chicken Paneer Butter Masala,1,60,20131,Indian,4.6,30,"nonveg, healthy, spicy"
14,Chicken Butter Masala,1,200,19843,Indian,4.2,28,"nonveg, healthy, spicy"
15,Chicken Masala,1,180,19882,Indian,4.2,28,"nonveg, healthy, spicy"
16,Tandoori Chicken,1,250,19990,Indian,4.5,32,"nonveg, healthy, spicy"
17,Chicken Paneer Masala,1,60,20006,Indian,4.6,30,"nonveg, healthy, spicy"
18,Chapati,1,20,19853,Indian,4.2,28,"veg, healthy"
19,Paneer Chapati,1,20,20085,Indian,4.2,28,"veg, healthy"
20,Chicken Maggi,1,50,20189,maggi,3.8,15,nonveg
21,Egg Maggi,1,25,19920,maggi,3.8,15,nonveg
22,Veg Puff,1,20,20124,Indian,4.2,28,"veg, healthy"
23,Egg Puff,1,25,19962,Indian,4.2,28,"veg, healthy"
24,Chicken Puff,1,50,19975,Indian,4.2,28,"nonveg, healthy, spicy"
25,Veg Fried Rice,1,145,19989,Indian,4.2,28,"veg, healthy"
26,Chicken Fried Rice,1,185,20131,Indian,4.2,28,"nonveg, healthy, spicy"
27,Veg Chowmein,1,145,20153,Indian,4.2,28,"veg, healthy"
28,Chicken Chowmein,1,185,20081,Indian,4.2,28,"nonveg, healthy, spicy"
29,Veg Manchurian,1,145,20092,Indian,4.2,28,"veg, healthy"
30,Chicken Manchurian,1,185,19968,Indian,4.2,28,"nonveg, healthy, spicy"
31,Veg Noodles,1,145,20185,Indian,4.2,28,"veg, healthy"
32,Chicken Noodles,1,185,20029,Indian,4.2,28,"nonveg, healthy, spicy"
33,Veg Fried Rice Shejwan,1,145,20120,Indian,4.2,28,"veg, healthy,spicy"
34,Chicken Fried Rice Shejwan,1,185,20058,Indian,4.2,28,"nonveg, healthy,spicy"
35,Veg Chowmein Shejwan,1,145,19838,Indian,4.2,28,"veg, healthy,spicy"
36,Chicken Chowmein Shejwan,1,185,19986,Indian,4.2,28,"nonveg, healthy,spicy"
37,veg pizza,1,145,19881,Italian,4.2,28,"veg, unhealthy"
38,Chicken pizza,1,185,19976,Italian,4.2,28,"nonveg, unhealthy"
39,Veg Pasta,1,145,20016,Italian,4.2,28,"veg, healthy"
40,Chicken Pasta,1,185,19920,Italian,4.2,28,"nonveg, healthy"
41,Veg Salad,1,145,19999,Italian,4.2,28,"veg, healthy, desert"
42,cheese burger,1,200,19973, Italian,4.5,32,"veg, unhealthy "
43,Gulab Jamun,1,250,19735,Italian,4.5,32,"veg, sweet, fat"
44,Kova,1,250,20169,Italian,4.5,32,"sweet, fat"
45,Rasagulla,1,180,20052,Indian,4.5,25,"veg, sweet,fat"
46,Dosa,1,40,19849,Indian,4.5,25,"veg, healthy, breakfast"
47,Idly,1,20,20027,Indian,4.2,25,"veg, healthy, breakfast"
48,Chapathi,1,25,19986,Indian,4.8,40,"veg, healthy, breakfast"
49,Vanilla MilkShake,1,80,20060,Indian, 4.7,35,"healthy, drinks"
50,Pepsi,1,20,19955,Indian,4.5,40,"unhealthy,drinks"
